id,medicament_id,forme,dosage
156,22,comprimé (blanc) ; boîte de 90,10 mg/80 mg
157,22,EZETIMIBE/ATORVASTATINE ZYDUS 10 mg/80 mg Cpr pell Plq/30 | Cip : 3400930285121 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/80 mg Cpr pell Plq/30
158,22,EZETIMIBE/ATORVASTATINE ZYDUS 10 mg/80 mg Cpr pell Plq/90 | Cip : 3400930285145 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/80 mg Cpr pell Plq/90
159,22,EZETIMIBE/ATORVASTATINE ZYDUS 10 mg/40 mg Cpr pell Plq/30 | Cip : 3400930285060 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/40 mg Cpr pell Plq/30
160,22,EZETIMIBE/ATORVASTATINE ZYDUS 10 mg/40 mg Cpr pell Plq/90 | Cip : 3400930285084 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/40 mg Cpr pell Plq/90
161,22,EZETIMIBE/ATORVASTATINE ZYDUS 10 mg/20 mg Cpr pell Plq/30 | Cip : 3400930285039 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/20 mg Cpr pell Plq/30
162,22,EZETIMIBE/ATORVASTATINE ZYDUS 10 mg/20 mg Cpr pell Plq/90 | Cip : 3400930285046 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/20 mg Cpr pell Plq/90
163,22,EZETIMIBE/ATORVASTATINE ZYDUS 10 mg/10 mg Cpr pell Plq/30 | Cip : 3400930285008 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/10 mg Cpr pell Plq/30
164,22,EZETIMIBE/ATORVASTATINE ZYDUS 10 mg/10 mg Cpr pell Plq/90 | Cip : 3400930285015 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/10 mg Cpr pell Plq/90
165,23,comprimé (roser) ; boîte de 30,10 mg/20 mg
166,23,comprimé (rose) ; boîte de 30,10 mg/40 mg
